age,workclass,education,race,sex,hours_per_week,USA_born,label
39.0,State-gov,Bachelors,White,Male,40.0,1.0,<=50K
50.0,Self-emp-not-inc,Bachelors,White,Male,13.0,1.0,<=50K
38.0,Private,High-school,White,Male,40.0,1.0,<=50K
53.0,Private,Some-high-school,Black,Male,40.0,1.0,<=50K
28.0,Private,Bachelors,Black,Female,40.0,0.0,<=50K
37.0,Private,Masters,White,Female,40.0,1.0,<=50K
49.0,Private,Some-high-school,Black,Female,16.0,0.0,<=50K
52.0,Self-emp-not-inc,High-school,White,Male,45.0,1.0,>50K
31.0,Private,Masters,White,Female,50.0,1.0,>50K
42.0,Private,Bachelors,White,Male,40.0,1.0,>50K
37.0,Private,Some-college,Black,Male,80.0,1.0,>50K
30.0,State-gov,Bachelors,Asian-Pac-Islander,Male,40.0,0.0,>50K
23.0,Private,Bachelors,White,Female,30.0,1.0,<=50K
34.0,Private,Middle-school,Amer-Indian-Eskimo,Male,45.0,0.0,<=50K
25.0,Self-emp-not-inc,High-school,White,Male,35.0,1.0,<=50K
32.0,Private,High-school,White,Male,40.0,1.0,<=50K
38.0,Private,Some-high-school,White,Male,50.0,1.0,<=50K
43.0,Self-emp-not-inc,Masters,White,Female,45.0,1.0,>50K
40.0,Private,Doctorate,White,Male,60.0,1.0,>50K
54.0,Private,High-school,Black,Female,20.0,1.0,<=50K
35.0,Federal-gov,Some-high-school,Black,Male,40.0,1.0,<=50K
43.0,Private,Some-high-school,White,Male,40.0,1.0,<=50K
59.0,Private,High-school,White,Female,40.0,1.0,<=50K
56.0,Local-gov,Bachelors,White,Male,40.0,1.0,>50K
19.0,Private,High-school,White,Male,40.0,1.0,<=50K
39.0,Private,High-school,White,Male,80.0,1.0,<=50K
49.0,Private,High-school,White,Male,40.0,1.0,<=50K
20.0,Private,Some-college,Black,Male,44.0,1.0,<=50K
45.0,Private,Bachelors,White,Male,40.0,1.0,<=50K
30.0,Federal-gov,Some-college,White,Male,40.0,1.0,<=50K
22.0,State-gov,Some-college,Black,Male,15.0,1.0,<=50K
48.0,Private,Some-high-school,White,Male,40.0,0.0,<=50K
21.0,Private,Some-college,White,Male,40.0,1.0,<=50K
19.0,Private,High-school,White,Female,25.0,1.0,<=50K
31.0,Private,Some-college,White,Male,38.0,0.0,>50K
31.0,Private,Some-high-school,White,Male,43.0,1.0,<=50K
53.0,Self-emp-not-inc,Bachelors,White,Male,40.0,1.0,<=50K
24.0,Private,Bachelors,White,Male,50.0,1.0,<=50K
49.0,Private,High-school,White,Female,40.0,1.0,<=50K
25.0,Private,High-school,White,Male,35.0,1.0,<=50K
57.0,Federal-gov,Bachelors,Black,Male,40.0,1.0,>50K
53.0,Private,High-school,White,Male,38.0,1.0,<=50K
44.0,Private,Masters,White,Female,40.0,1.0,<=50K
25.0,Private,Some-college,Other,Female,40.0,1.0,<=50K
18.0,Private,High-school,White,Female,30.0,0.0,<=50K
,Federal-gov,Bachelors,White,Male,55.0,1.0,>50K
47.0,Self-emp-inc,High-school,White,Male,60.0,1.0,<=50K
43.0,Private,Some-college,White,Male,40.0,1.0,>50K
46.0,Private,Some-middle-school,White,Male,40.0,0.0,<=50K
41.0,Private,High-school,White,Male,48.0,1.0,<=50K
30.0,Private,High-school,White,Male,40.0,1.0,<=50K
30.0,Private,Bachelors,White,Male,40.0,1.0,<=50K
48.0,Private,High-school,White,Male,40.0,1.0,<=50K
42.0,Private,Doctorate,White,Male,45.0,1.0,>50K
29.0,Private,Some-college,White,Male,58.0,1.0,<=50K
36.0,Private,High-school,White,Male,40.0,1.0,<=50K
28.0,Private,Some-college,White,Female,40.0,1.0,<=50K
53.0,Private,High-school,White,Female,40.0,1.0,>50K
49.0,Self-emp-inc,Some-college,White,Male,50.0,1.0,>50K
19.0,Private,Some-college,White,Male,32.0,1.0,<=50K
31.0,Private,Bachelors,Black,Female,40.0,1.0,<=50K
29.0,Self-emp-not-inc,Bachelors,White,Male,70.0,1.0,>50K
23.0,Private,Some-college,White,Male,40.0,1.0,<=50K
79.0,Private,Some-college,White,Male,20.0,1.0,<=50K
27.0,Private,High-school,White,Male,40.0,0.0,<=50K
18.0,Private,Some-high-school,White,Female,22.0,1.0,<=50K
31.0,Local-gov,Middle-school,White,Male,40.0,1.0,<=50K
18.0,Private,High-school,White,Male,30.0,1.0,<=50K
